subject,catalog_number,exclusion_reason,approved_date,notes
CIVENG,190,COURSE_POLICY_EXCLUSION,2026-08-08,CIVENG 190 is a reusable pilot-course number with heterogeneous sections and instructors; exclude all offerings from Version 1 SCH
CIVENG,98,COURSE_POLICY_EXCLUSION,2026-08-08,CIVENG 98/198 group-study activities are excluded consistently across all Version 1.2 terms
CIVENG,198,COURSE_POLICY_EXCLUSION,2026-08-08,CIVENG 98/198 group-study activities are excluded consistently across all Version 1.2 terms
ENGIN,98,COURSE_POLICY_EXCLUSION,2026-08-08,ENGIN 98/198 group-study activities are excluded consistently across all Version 1.2 terms
ENGIN,198,COURSE_POLICY_EXCLUSION,2026-08-08,ENGIN 98/198 group-study activities are excluded consistently across all Version 1.2 terms
